date,os,visits
2016-08-07,Windows Phone,342
2016-08-07,iOS,14455
2016-08-08,(not set),19
2016-08-08,Android,3399
2016-08-08,BlackBerry,23
2016-08-08,Chrome OS,50
2016-08-08,Firefox OS,1
2016-08-08,FreeBSD,2
2016-08-08,Linux,63
2016-08-08,Macintosh,1678
2016-08-08,Windows,9471
2016-08-08,Windows Phone,284
2016-08-08,iOS,11674
2016-08-09,(not set),22
2016-08-09,Android,2578
2016-08-09,BlackBerry,25
2016-08-09,Chrome OS,35
2016-08-09,FreeBSD,1
2016-08-09,Linux,61
2016-08-09,Macintosh,1190
2016-08-09,Nokia,1
2016-08-09,Samsung,1
2016-08-09,Windows,7258
2016-08-09,Windows Phone,210
2016-08-09,iOS,8683
2016-08-10,(not set),15
2016-08-10,Android,3513
2016-08-10,BlackBerry,27
2016-08-10,Chrome OS,41
2016-08-10,FreeBSD,2
2016-08-10,Linux,66
2016-08-10,Macintosh,1707
2016-08-10,Nokia,1
2016-08-10,Playstation 3,1
2016-08-10,Windows,9506
2016-08-10,Windows Phone,305
2016-08-10,iOS,11559
2016-08-11,(not set),20
2016-08-11,Android,3376
2016-08-11,BlackBerry,25
2016-08-11,Chrome OS,40
2016-08-11,FreeBSD,1
2016-08-11,Linux,64
2016-08-11,Macintosh,1614
2016-08-11,Nokia,1
2016-08-11,Samsung,1
2016-08-11,Windows,8985
2016-08-11,Windows Phone,310
2016-08-11,iOS,11707
2016-08-12,(not set),16
2016-08-12,Android,2993
2016-08-12,BlackBerry,22
2016-08-12,Chrome OS,31
2016-08-12,FreeBSD,1
2016-08-12,Linux,55
2016-08-12,Macintosh,1355
2016-08-12,Windows,8363
2016-08-12,Windows Phone,272
2016-08-12,iOS,10725
2016-08-13,(not set),21
2016-08-13,Android,2905
2016-08-13,Bada,1
2016-08-13,BlackBerry,23
2016-08-13,Chrome OS,33
2016-08-13,FreeBSD,3
2016-08-13,Linux,56
2016-08-13,Macintosh,1085
2016-08-13,Nokia,1
2016-08-13,Samsung,1
2016-08-13,Windows,3274
2016-08-13,Windows Phone,250
2016-08-13,iOS,10935
2016-08-14,(not set),16
2016-08-14,Android,3181
2016-08-14,BlackBerry,25
2016-08-14,Chrome OS,25
2016-08-14,FreeBSD,3
2016-08-14,Linux,55
2016-08-14,Macintosh,1206
2016-08-14,Nokia,1
2016-08-14,Windows,3161
2016-08-14,Windows Phone,236
2016-08-14,iOS,11515
2016-08-15,(not set),25
2016-08-15,Android,3787
2016-08-15,BlackBerry,26
2016-08-15,Chrome OS,47
2016-08-15,FreeBSD,3
2016-08-15,Linux,72
2016-08-15,Macintosh,1700
2016-08-15,Windows,10062
2016-08-15,Windows Phone,316
2016-08-15,iOS,13537
2016-08-16,(not set),29
2016-08-16,Android,3930
2016-08-16,BlackBerry,31
2016-08-16,Chrome OS,46
2016-08-16,FreeBSD,3
2016-08-16,Linux,71
2016-08-16,Macintosh,1677
2016-08-16,Nokia,2
2016-08-16,Windows,10531
2016-08-16,Windows Phone,375
2016-08-16,iOS,13597
2016-08-17,(not set),11
2016-08-17,Android,4548
2016-08-17,BlackBerry,35
2016-08-17,Chrome OS,51
2016-08-17,FreeBSD,2
2016-08-17,Linux,118
2016-08-17,Macintosh,2093
2016-08-17,Nokia,1
2016-08-17,Samsung,2
2016-08-17,Windows,11609
2016-08-17,Windows Phone,425
2016-08-17,iOS,16037
2016-08-18,(not set),20
2016-08-18,Android,4249
2016-08-18,BlackBerry,26
2016-08-18,Chrome OS,55
2016-08-18,FreeBSD,2
2016-08-18,Linux,91
2016-08-18,Macintosh,1958
2016-08-18,Nokia,2
2016-08-18,Playstation Vita,1
2016-08-18,Samsung,1
2016-08-18,Windows,11030
2016-08-18,Windows Phone,383
2016-08-18,iOS,14853
